Review_Date,Ticker,Name,Tag,Rec_Date,Rec_Price,Cur_Price,Days_Held,PnL_Pct,Hold_Period,Stop_Loss
2026-06-02,600584.SH,长电科技,Trap_Warning,2026-05-27,88.19,75.65,6,-14.22,nan,nan
2026-06-02,300308.SZ,中际旭创,Core_Double_Dragon,2026-05-27,1103.0,1130.0,6,2.45,5-10天,跌破1050元或5日均线
2026-06-02,688256.SH,寒武纪,Core_Double_Dragon,2026-05-27,1410.96,1238.0,6,-12.26,3-8天,跌破1350元
2026-06-02,688041.SH,海光信息,Sub_Pioneer,2026-05-27,341.16,275.36,6,-19.29,3-5天,跌破320元
2026-06-02,601138.SH,工业富联,Trap_Warning,2026-05-27,69.98,73.75,6,5.39,nan,nan
2026-06-02,601899.SH,紫金矿业,Sub_Pioneer,2026-05-27,32.9,30.19,6,-8.24,10-15天,跌破31.5元
2026-06-02,300750.SZ,宁德时代,Trap_Warning,2026-05-27,402.5,420.1,6,4.37,nan,nan
2026-06-02,688072.SH,拓荆科技,Trap_Warning,2026-05-27,750.0,583.35,6,-22.22,nan,nan
2026-06-02,300059.SZ,东方财富,Trap_Warning,2026-05-27,20.05,18.97,6,-5.39,nan,nan
2026-06-02,603993.SH,洛阳钼业,Trap_Warning,2026-05-27,20.39,18.42,6,-9.66,nan,nan
2026-06-02,601600.SH,中国铝业,Trap_Warning,2026-05-27,12.09,11.29,6,-6.62,nan,nan
2026-06-02,688498.SH,源杰科技,Trap_Warning,2026-05-27,1041.1,1073.44,6,3.11,nan,nan
2026-06-02,600584.SH,长电科技,Trap_Warning,2026-05-28,86.16,75.65,5,-12.2,nan,nan
2026-06-02,300750.SZ,宁德时代,Core_Double_Dragon,2026-05-28,414.8,420.1,5,1.28,5-10天,跌破395元
2026-06-02,601138.SH,工业富联,Core_Double_Dragon,2026-05-28,70.08,73.75,5,5.24,3-8天,跌破66.5元
2026-06-02,688256.SH,寒武纪,Trap_Warning,2026-05-28,1340.0,1238.0,5,-7.61,nan,nan
2026-06-02,688525.SH,佰维存储,Trap_Warning,2026-05-28,316.99,305.0,5,-3.78,nan,nan
2026-06-02,600519.SH,贵州茅台,Trap_Warning,2026-05-28,1303.0,1309.6,5,0.51,nan,nan
2026-06-02,688498.SH,源杰科技,Sub_Pioneer,2026-05-28,1124.0,1073.44,5,-4.5,3-7天,跌破1050元
2026-06-02,601899.SH,紫金矿业,Trap_Warning,2026-05-28,31.62,30.19,5,-4.52,nan,nan
2026-06-02,600703.SH,三安光电,Trap_Warning,2026-05-28,16.61,15.16,5,-8.73,nan,nan
2026-06-02,300014.SZ,亿纬锂能,Trap_Warning,2026-05-28,64.73,64.99,5,0.4,nan,nan
2026-06-02,002273.SZ,水晶光电,Sub_Pioneer,2026-05-28,42.05,36.53,5,-13.13,2-5天,跌破39.8元
2026-06-02,600276.SH,恒瑞医药,Trap_Warning,2026-05-28,50.37,49.17,5,-2.38,nan,nan
2026-06-02,300308.SZ,中际旭创,Trap_Warning,2026-05-29,1197.99,1130.0,4,-5.68,nan,nan
2026-06-02,603986.SH,兆易创新,Trap_Warning,2026-05-29,483.0,468.0,4,-3.11,nan,nan
2026-06-02,601138.SH,工业富联,Core_Double_Dragon,2026-05-29,75.0,73.75,4,-1.67,5-8天,跌破70.00元
2026-06-02,600584.SH,长电科技,Trap_Warning,2026-05-29,84.74,75.65,4,-10.73,nan,nan
2026-06-02,688256.SH,寒武纪,Core_Double_Dragon,2026-05-29,1391.5,1238.0,4,-11.03,3-5天,跌破1320.00元
2026-06-02,688008.SH,澜起科技,Trap_Warning,2026-05-29,260.98,232.3,4,-10.99,nan,nan
2026-06-02,300750.SZ,宁德时代,Trap_Warning,2026-05-29,415.68,420.1,4,1.06,nan,nan
2026-06-02,688347.SH,华虹公司,Trap_Warning,2026-05-29,249.65,222.9,4,-10.72,nan,nan
2026-06-02,000636.SZ,风华高科,Trap_Warning,2026-05-29,48.64,55.05,4,13.18,nan,nan
2026-06-02,600519.SH,贵州茅台,Trap_Warning,2026-05-29,1275.98,1309.6,4,2.63,nan,nan
2026-06-02,301205.SZ,联特科技,Sub_Pioneer,2026-05-29,292.8,312.69,4,6.79,2-4天,跌破265.00元
2026-06-02,300666.SZ,江丰电子,Sub_Pioneer,2026-05-29,203.05,188.06,4,-7.38,3-6天,跌破185.00元
2026-06-02,300308.SZ,中际旭创,Core_Double_Dragon,2026-05-29,1197.99,1130.0,4,-5.68,5-12天,71.5元，跌破日线MA10无条件离场，对应-4.7%
2026-06-02,603986.SH,兆易创新,Trap_Warning,2026-05-29,483.0,468.0,4,-3.11,nan,nan
2026-06-02,601138.SH,工业富联,Trap_Warning,2026-05-29,75.0,73.75,4,-1.67,nan,nan
2026-06-02,300502.SZ,新易盛,Core_Double_Dragon,2026-05-29,718.34,679.82,4,-5.36,5-12天,71.5元，跌破日线MA10无条件离场，对应-4.7%
2026-06-02,300394.SZ,天孚通信,Core_Double_Dragon,2026-05-29,447.56,428.88,4,-4.17,7-15天,36.5元，跌破启动平台-4.7%坚决出局
2026-06-02,688256.SH,寒武纪,Trap_Warning,2026-05-29,1391.5,1238.0,4,-11.03,nan,nan
